GEO.id,GEO.id2,GEO.display-label,B25034_001E,B25034_001M,B25034_002E,B25034_002M,B25034_003E,B25034_003M,B25034_004E,B25034_004M,B25034_005E,B25034_005M,B25034_006E,B25034_006M,B25034_007E,B25034_007M,B25034_008E,B25034_008M,B25034_009E,B25034_009M,B25034_010E,B25034_010M,B25034_011E,B25034_011M
Id,Id2,Geography,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Built 2014 or later,Margin of Error!!Total!!Built 2014 or later,Estimate!!Total!!Built 2010 to 2013,Margin of Error!!Total!!Built 2010 to 2013,Estimate!!Total!!Built 2000 to 2009,Margin of Error!!Total!!Built 2000 to 2009,Estimate!!Total!!Built 1990 to 1999,Margin of Error!!Total!!Built 1990 to 1999,Estimate!!Total!!Built 1980 to 1989,Margin of Error!!Total!!Built 1980 to 1989,Estimate!!Total!!Built 1970 to 1979,Margin of Error!!Total!!Built 1970 to 1979,Estimate!!Total!!Built 1960 to 1969,Margin of Error!!Total!!Built 1960 to 1969,Estimate!!Total!!Built 1950 to 1959,Margin of Error!!Total!!Built 1950 to 1959,Estimate!!Total!!Built 1940 to 1949,Margin of Error!!Total!!Built 1940 to 1949,Estimate!!Total!!Built 1939 or earlier,Margin of Error!!Total!!Built 1939 or earlier
0500000US09009,09009,"New Haven County, Connecticut",366266,404,1885,296,3507,416,20362,974,26934,997,45304,1412,47680,1450,45199,1469,54821,1526,26113,1070,94461,1940
0500000US09013,09013,"Tolland County, Connecticut",59418,351,628,180,1444,234,6032,430,6505,520,9703,623,8798,623,9472,652,6719,633,2456,325,7661,510
0500000US09003,09003,"Hartford County, Connecticut",378700,422,2047,303,3406,348,22510,846,25022,813,47112,1382,50278,1406,56385,1712,64537,1309,30018,1086,77385,1446
0500000US09015,09015,"Windham County, Connecticut",49644,205,111,49,527,169,4744,476,4526,383,7203,540,6519,516,5139,434,4872,430,2527,336,13476,764
0500000US09007,09007,"Middlesex County, Connecticut",76124,228,443,179,816,200,7097,478,7859,508,11829,652,10622,588,9331,555,9289,596,3701,395,15137,748
0500000US09005,09005,"Litchfield County, Connecticut",88153,268,301,124,728,176,6666,472,7860,560,12420,684,13191,601,9512,657,10497,596,5170,423,21808,817
0500000US09011,09011,"New London County, Connecticut",123001,242,765,169,1328,244,10744,609,10975,674,16589,950,16395,840,16086,803,14466,905,6211,550,29442,1047
0500000US09001,09001,"Fairfield County, Connecticut",370999,387,4071,388,7425,562,25477,994,25778,983,41146,1220,47877,1521,55175,1466,57427,1439,28198,1034,78425,1776
0600000US0901180280,0901180280,"Waterford town, New London County, Connecticut",8512,347,29,36,45,33,747,172,684,144,968,174,1104,171,1007,169,1782,288,530,131,1616,227
0600000US0901155500,0901155500,"North Stonington town, New London County, Connecticut",2350,237,0,17,1,2,172,86,241,100,438,159,195,104,458,135,326,147,89,95,430,151
0600000US0901173770,0901173770,"Stonington town, New London County, Connecticut",9488,315,133,77,96,47,803,130,761,161,1240,194,907,128,1035,179,1065,185,433,115,3015,233
0600000US0901156270,0901156270,"Norwich town, New London County, Connecticut",19076,595,26,32,129,90,1401,324,855,214,1939,360,1777,280,1857,335,2711,377,1232,279,7149,582
0600000US0901123400,0901123400,"East Lyme town, New London County, Connecticut",8625,259,207,89,166,58,1082,155,802,138,931,159,1221,187,1486,217,800,143,442,106,1488,234
0600000US0901178600,0901178600,"Voluntown town, New London County, Connecticut",1122,68,0,12,4,5,114,39,207,48,190,48,125,44,88,37,166,47,56,34,172,55
0600000US0901143230,0901143230,"Lisbon town, New London County, Connecticut",1747,99,10,14,29,27,129,61,190,65,492,122,239,72,184,66,134,59,83,41,257,96
0600000US0901148900,0901148900,"Montville town, New London County, Connecticut",7504,316,6,10,110,92,898,205,721,196,901,211,1185,242,1821,246,984,204,199,97,679,181
0600000US0901144210,0901144210,"Lyme town, New London County, Connecticut",1202,53,7,11,5,8,129,48,159,55,115,46,173,59,96,37,134,49,77,33,307,60
0600000US0901157040,0901157040,"Old Lyme town, New London County, Connecticut",4987,205,0,17,89,62,244,84,478,125,537,165,681,135,544,130,641,165,452,138,1321,215
