GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Built 2014 or later,Margin of Error; Total: - Built 2014 or later,Estimate; Total: - Built 2010 to 2013,Margin of Error; Total: - Built 2010 to 2013,Estimate; Total: - Built 2000 to 2009,Margin of Error; Total: - Built 2000 to 2009,Estimate; Total: - Built 1990 to 1999,Margin of Error; Total: - Built 1990 to 1999,Estimate; Total: - Built 1980 to 1989,Margin of Error; Total: - Built 1980 to 1989,Estimate; Total: - Built 1970 to 1979,Margin of Error; Total: - Built 1970 to 1979,Estimate; Total: - Built 1960 to 1969,Margin of Error; Total: - Built 1960 to 1969,Estimate; Total: - Built 1950 to 1959,Margin of Error; Total: - Built 1950 to 1959,Estimate; Total: - Built 1940 to 1949,Margin of Error; Total: - Built 1940 to 1949,Estimate; Total: - Built 1939 or earlier,Margin of Error; Total: - Built 1939 or earlier
0400000US09,09,Connecticut,1507711,283,5367,504,17308,789,105131,1780,114261,1964,191939,2268,200217,2642,205463,2707,225763,2720,104251,1892,338011,3302
0500000US09001,09001,"Fairfield County, Connecticut",369044,363,2146,314,6660,573,25699,709,24667,973,42169,1206,47984,1513,54198,1356,58064,1369,28296,808,79161,1649
0500000US09003,09003,"Hartford County, Connecticut",377840,365,1185,190,2994,309,23055,753,25578,963,47043,1056,50047,1213,55830,1253,65122,1466,30138,931,76848,1431
0500000US09005,09005,"Litchfield County, Connecticut",88068,249,123,74,664,141,6727,457,7931,523,12516,618,12754,652,9404,645,10681,558,5476,530,21792,778
0500000US09007,09007,"Middlesex County, Connecticut",75938,217,122,59,654,169,6993,459,7840,524,11530,607,10656,691,9716,589,9299,570,3669,430,15459,685
0500000US09009,09009,"New Haven County, Connecticut",365546,356,1096,250,3312,357,20771,855,26297,901,45763,1353,46791,1275,45578,1307,55307,1399,25512,1063,95119,1991
0500000US09011,09011,"New London County, Connecticut",122599,235,372,102,1230,222,10931,681,10897,790,16230,793,16649,836,15979,829,14987,734,6124,501,29200,940
0500000US09013,09013,"Tolland County, Connecticut",59099,385,280,121,1311,238,5943,452,6661,615,9292,643,8766,605,9510,619,7300,553,2561,339,7475,549
0500000US09015,09015,"Windham County, Connecticut",49577,197,43,35,483,149,5012,475,4390,434,7396,549,6570,513,5248,463,5003,475,2475,335,12957,588
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",7554,239,54,62,128,54,351,96,504,137,956,188,1813,200,1133,219,966,198,433,161,1216,224
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",58124,895,38,37,322,160,1893,263,1500,227,4277,425,4936,473,6651,515,7409,639,6879,551,24219,873
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",6573,273,42,31,77,49,681,132,301,90,1402,185,1267,220,1217,180,866,197,315,119,405,154
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",32658,665,299,133,660,191,3503,390,2184,270,4776,435,4729,460,4020,399,4380,349,1390,261,6717,503
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",7045,172,56,43,203,82,571,116,441,109,409,111,518,123,757,125,1495,182,775,138,1820,167
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",2837,125,21,25,12,15,233,78,331,107,231,67,423,101,474,111,323,86,269,81,520,110
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",21615,355,125,62,207,67,1047,158,1029,167,1316,209,2258,259,3356,259,4711,338,2813,290,4753,363
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",24617,481,98,49,416,112,1991,220,1543,197,2222,320,2811,305,2949,292,3974,330,1715,204,6898,424
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",7312,267,0,19,44,63,276,100,866,199,1832,266,1044,228,1348,228,898,188,333,153,671,192
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",7491,219,53,45,78,82,792,169,492,131,731,178,956,170,1466,217,1285,215,305,110,1333,213
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",5898,163,9,13,69,62,313,96,513,120,711,107,1081,129,1184,186,968,177,413,123,637,140
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",10282,288,63,55,99,59,1268,213,1784,204,1253,176,1394,172,1561,215,1142,194,372,123,1346,275
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",35458,682,316,90,593,165,2258,271,1960,248,3743,363,4323,463,4542,393,7146,465,3133,355,7444,552
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",3893,203,0,17,24,22,500,100,238,90,665,134,539,121,534,116,531,130,139,80,723,116
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",9645,264,33,40,179,105,683,179,926,203,1230,221,1914,251,2462,279,959,150,347,132,912,188
