GEO.id,GEO.id2,GEO.display-label,B25034_001E,B25034_001M,B25034_002E,B25034_002M,B25034_003E,B25034_003M,B25034_004E,B25034_004M,B25034_005E,B25034_005M,B25034_006E,B25034_006M,B25034_007E,B25034_007M,B25034_008E,B25034_008M,B25034_009E,B25034_009M,B25034_010E,B25034_010M
Id,Id2,Geography,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Built 2010 or later,Margin of Error!!Total!!Built 2010 or later,Estimate!!Total!!Built 2000 to 2009,Margin of Error!!Total!!Built 2000 to 2009,Estimate!!Total!!Built 1990 to 1999,Margin of Error!!Total!!Built 1990 to 1999,Estimate!!Total!!Built 1980 to 1989,Margin of Error!!Total!!Built 1980 to 1989,Estimate!!Total!!Built 1970 to 1979,Margin of Error!!Total!!Built 1970 to 1979,Estimate!!Total!!Built 1960 to 1969,Margin of Error!!Total!!Built 1960 to 1969,Estimate!!Total!!Built 1950 to 1959,Margin of Error!!Total!!Built 1950 to 1959,Estimate!!Total!!Built 1940 to 1949,Margin of Error!!Total!!Built 1940 to 1949,Estimate!!Total!!Built 1939 or earlier,Margin of Error!!Total!!Built 1939 or earlier
0600000US0901142600,0901142600,"Ledyard town, New London County, Connecticut",6124,228,54,71,611,191,563,164,755,180,1475,263,1538,233,755,204,96,59,277,118
0600000US0901143230,0901143230,"Lisbon town, New London County, Connecticut",1724,122,10,15,141,62,189,78,420,100,304,98,241,94,216,89,27,24,176,78
0600000US0901144210,0901144210,"Lyme town, New London County, Connecticut",1227,60,11,12,141,54,128,49,149,52,105,36,135,59,121,43,71,36,366,64
0600000US0901148900,0901148900,"Montville town, New London County, Connecticut",7459,325,20,26,720,185,734,163,1172,237,1023,248,1711,229,1060,196,260,90,759,195
0600000US0901152350,0901152350,"New London town, New London County, Connecticut",11582,490,58,58,263,74,240,116,637,179,1071,185,1611,317,1011,212,710,174,5981,449
0600000US0901155500,0901155500,"North Stonington town, New London County, Connecticut",2256,114,29,45,241,95,245,91,323,98,375,138,358,123,266,127,51,49,368,134
0600000US0901156270,0901156270,"Norwich town, New London County, Connecticut",18241,532,77,63,1097,206,910,226,2000,335,2183,309,1377,238,2439,353,1014,173,7144,423
0600000US0901157040,0901157040,"Old Lyme town, New London County, Connecticut",5003,207,10,14,193,68,422,108,444,129,760,154,526,111,792,177,684,174,1172,217
0600000US0901162150,0901162150,"Preston town, New London County, Connecticut",2086,129,0,12,230,83,143,64,280,92,536,122,266,98,275,97,49,32,307,86
0600000US0901166210,0901166210,"Salem town, New London County, Connecticut",1693,95,39,49,181,56,232,91,393,87,239,73,237,76,210,93,50,55,112,55
0600000US0901171670,0901171670,"Sprague town, New London County, Connecticut",1357,92,28,36,97,47,103,38,167,65,95,41,142,55,109,48,28,17,588,94
0600000US0901173770,0901173770,"Stonington town, New London County, Connecticut",9477,244,28,20,858,157,883,156,1230,181,1010,140,877,120,1055,203,357,124,3179,260
0600000US0901178600,0901178600,"Voluntown town, New London County, Connecticut",1123,71,0,12,142,42,157,41,200,50,117,39,113,46,191,63,48,26,155,47
0600000US0901180280,0901180280,"Waterford town, New London County, Connecticut",8854,255,46,43,624,180,832,156,1034,189,948,149,1061,203,2057,249,474,129,1778,252
0600000US0901301080,0901301080,"Andover town, Tolland County, Connecticut",1195,78,15,18,139,55,158,48,234,72,132,54,52,31,163,69,128,61,174,69
0600000US0901306260,0901306260,"Bolton town, Tolland County, Connecticut",2141,121,0,12,170,68,245,97,442,112,200,60,235,91,477,102,138,65,234,90
0600000US0901316400,0901316400,"Columbia town, Tolland County, Connecticut",2210,141,0,17,204,87,365,118,566,150,121,70,211,86,279,125,167,90,297,120
0600000US0901317800,0901317800,"Coventry town, Tolland County, Connecticut",5112,188,48,40,612,174,638,169,597,153,450,150,461,134,770,189,564,164,972,233
0600000US0901325360,0901325360,"Ellington town, Tolland County, Connecticut",6573,244,49,65,1182,242,721,171,1032,243,896,200,729,200,1008,211,359,140,597,175
0600000US0901337910,0901337910,"Hebron town, Tolland County, Connecticut",3564,171,8,13,642,154,627,110,713,137,416,87,472,114,264,84,90,52,332,121
0600000US0901344910,0901344910,"Mansfield town, Tolland County, Connecticut",6199,536,50,47,634,189,468,142,1021,204,941,211,1063,244,880,148,272,111,870,183
0600000US0901369220,0901369220,"Somers town, Tolland County, Connecticut",3546,192,36,26,329,84,270,67,616,126,677,130,536,127,354,100,137,80,591,139
0600000US0901372090,0901372090,"Stafford town, Tolland County, Connecticut",5286,225,14,21,496,114,349,111,703,156,658,174,339,104,628,152,285,121,1814,188
0600000US0901376290,0901376290,"Tolland town, Tolland County, Connecticut",5545,196,61,66,770,148,905,174,830,180,739,168,1187,187,617,205,94,58,342,124
0600000US0901377830,0901377830,"Union town, Tolland County, Connecticut",375,58,1,4,67,26,48,21,59,28,56,25,29,13,32,15,12,13,71,35
0600000US0901378250,0901378250,"Vernon town, Tolland County, Connecticut",14076,373,64,75,1245,198,745,153,1882,271,2174,312,2875,377,2620,365,317,86,2154,258
0600000US0901385950,0901385950,"Willington town, Tolland County, Connecticut",2457,200,17,21,170,88,240,100,353,114,594,173,536,133,249,120,52,44,246,134
0600000US0901501430,0901501430,"Ashford town, Windham County, Connecticut",1883,109,7,11,236,89,271,79,352,92,397,107,192,70,224,79,63,37,141,71
0600000US0901509190,0901509190,"Brooklyn town, Windham County, Connecticut",3188,209,11,17,264,115,286,117,401,147,587,165,571,187,302,114,149,88,617,180
0600000US0901512130,0901512130,"Canterbury town, Windham County, Connecticut",2031,109,21,26,169,67,187,71,634,113,376,107,223,86,59,37,66,40,296,110
0600000US0901513810,0901513810,"Chaplin town, Windham County, Connecticut",958,40,5,9,59,33,148,51,113,44,139,52,89,41,117,44,60,36,228,64
0600000US0901521860,0901521860,"Eastford town, Windham County, Connecticut",791,33,0,12,83,30,166,42,133,33,107,37,35,18,65,25,25,16,177,34
0600000US0901536000,0901536000,"Hampton town, Windham County, Connecticut",781,40,10,7,87,27,110,29,133,36,78,29,55,24,51,19,41,20,216,38
0600000US0901540500,0901540500,"Killingly town, Windham County, Connecticut",7817,371,17,28,978,219,481,173,1324,267,1156,299,849,212,640,173,368,156,2004,340
0600000US0901559980,0901559980,"Plainfield town, Windham County, Connecticut",6460,246,16,19,447,149,501,143,901,204,930,237,741,165,651,202,245,121,2028,279
0600000US0901561030,0901561030,"Pomfret town, Windham County, Connecticut",1580,118,0,12,201,70,263,74,249,78,254,94,76,39,130,58,45,41,362,117
0600000US0901562710,0901562710,"Putnam town, Windham County, Connecticut",4269,251,0,17,416,128,213,104,451,115,344,99,423,130,488,130,156,84,1778,250
0600000US0901567400,0901567400,"Scotland town, Windham County, Connecticut",648,32,4,6,71,25,107,26,134,36,57,23,70,27,59,26,3,5,143,37
0600000US0901573420,0901573420,"Sterling town, Windham County, Connecticut",1289,128,33,44,245,87,179,70,316,78,96,52,85,46,34,26,31,20,270,88
0600000US0901575870,0901575870,"Thompson town, Windham County, Connecticut",4040,162,9,14,293,80,460,114,614,147,456,93,436,120,527,150,325,110,920,175
0600000US0901586790,0901586790,"Windham town, Windham County, Connecticut",9702,438,108,72,587,185,402,127,1101,209,1501,291,1058,239,946,185,564,179,3435,284
0600000US0901588190,0901588190,"Woodstock town, Windham County, Connecticut",3725,203,27,31,520,132,407,156,914,183,545,172,128,67,423,174,143,79,618,184
0400000US09,09,Connecticut,1490381,481,7423,522,104093,2255,113875,2329,193794,2677,200288,2628,199413,2516,232682,2892,104523,2059,334290,2923
