GEO.id,GEO.id2,GEO.display-label,B25034_001E,B25034_001M,B25034_002E,B25034_002M,B25034_003E,B25034_003M,B25034_004E,B25034_004M,B25034_005E,B25034_005M,B25034_006E,B25034_006M,B25034_007E,B25034_007M,B25034_008E,B25034_008M,B25034_009E,B25034_009M,B25034_010E,B25034_010M,B25034_011E,B25034_011M
Id,Id2,Geography,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Built 2014 or later,Margin of Error!!Total!!Built 2014 or later,Estimate!!Total!!Built 2010 to 2013,Margin of Error!!Total!!Built 2010 to 2013,Estimate!!Total!!Built 2000 to 2009,Margin of Error!!Total!!Built 2000 to 2009,Estimate!!Total!!Built 1990 to 1999,Margin of Error!!Total!!Built 1990 to 1999,Estimate!!Total!!Built 1980 to 1989,Margin of Error!!Total!!Built 1980 to 1989,Estimate!!Total!!Built 1970 to 1979,Margin of Error!!Total!!Built 1970 to 1979,Estimate!!Total!!Built 1960 to 1969,Margin of Error!!Total!!Built 1960 to 1969,Estimate!!Total!!Built 1950 to 1959,Margin of Error!!Total!!Built 1950 to 1959,Estimate!!Total!!Built 1940 to 1949,Margin of Error!!Total!!Built 1940 to 1949,Estimate!!Total!!Built 1939 or earlier,Margin of Error!!Total!!Built 1939 or earlier
0500000US09001,09001,"Fairfield County, Connecticut",364737,463,1168,215,5567,435,25497,1080,24556,874,41834,1358,47574,1309,53446,1273,59084,1586,28368,925,77643,1479
0500000US09003,09003,"Hartford County, Connecticut",374672,515,439,144,2400,322,22661,848,25016,940,47731,1387,49910,1262,54349,1218,65726,1331,31312,1096,75128,1598
0500000US09005,09005,"Litchfield County, Connecticut",87450,240,41,48,535,126,6615,466,7843,511,12302,710,12757,632,9184,514,10691,619,5378,449,22104,709
0500000US09007,09007,"Middlesex County, Connecticut",75277,201,82,46,585,174,7106,524,7787,560,11335,614,10925,530,9224,501,9073,554,3734,339,15426,716
0500000US09009,09009,"New Haven County, Connecticut",362497,346,437,191,2822,322,20163,957,26304,1028,44663,1277,47516,1393,45359,1256,54533,1395,26003,1088,94697,1541
0500000US09011,09011,"New London County, Connecticut",121426,296,111,64,1256,243,11197,708,11255,631,16154,732,16693,713,15816,718,14416,780,5748,418,28780,957
0500000US09013,09013,"Tolland County, Connecticut",58574,385,170,97,1069,229,6025,550,6565,531,9154,565,8639,558,9196,590,7632,523,2441,321,7683,581
0500000US09015,09015,"Windham County, Connecticut",49165,178,12,19,439,150,5044,419,4258,480,7582,577,6600,535,5238,466,4669,440,2582,322,12741,637
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",7563,226,50,65,117,50,382,114,548,151,978,211,1851,225,1083,182,995,161,388,129,1171,220
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",57658,842,0,28,334,121,1873,276,1639,284,4223,485,4953,514,6549,548,7821,630,7298,502,22968,702
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",6593,289,40,31,74,44,669,134,270,89,1390,227,1326,242,1198,200,848,165,301,130,477,151
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",32313,781,96,58,627,195,3445,425,2189,265,4546,406,4785,472,4051,441,4539,489,1448,284,6587,502
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",6952,213,30,27,184,78,593,133,354,73,358,76,630,109,658,120,1549,175,717,145,1879,184
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",2784,125,16,19,0,17,253,94,262,90,184,60,473,96,397,105,401,103,316,89,482,93
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",21278,373,78,56,135,60,919,146,1076,113,1304,167,2236,243,3305,259,4891,319,2692,285,4642,309
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",24373,482,98,45,371,122,1902,219,1543,239,1968,256,2668,283,2952,336,4056,391,1669,209,7146,399
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",7218,237,0,19,43,57,263,110,860,160,1751,269,1180,196,1192,215,951,201,271,122,707,165
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",7444,215,44,42,78,86,740,137,534,151,733,183,1026,198,1502,196,1329,236,277,100,1181,185
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",5705,169,0,19,21,23,295,110,561,113,637,113,1123,141,1176,164,845,164,425,99,622,163
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",10260,247,6,7,68,42,1408,212,1599,180,1232,199,1526,220,1578,218,1148,197,383,93,1312,215
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",35168,626,147,64,575,169,2359,303,2084,262,3679,353,4090,380,4835,316,6754,577,3270,342,7375,520
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",3910,174,0,17,15,18,558,110,262,90,678,125,546,101,552,119,464,130,110,56,725,174
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",9446,231,35,44,120,71,576,136,912,181,1266,173,2003,240,2401,274,903,163,306,114,924,224
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",17041,439,9,14,352,130,1474,271,1947,248,3305,303,2843,310,2556,266,1858,235,730,162,1967,254
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",1708,99,8,12,0,12,221,85,152,58,215,68,339,74,161,57,220,85,99,48,293,96
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",51811,796,352,101,1656,246,4550,474,3704,471,7811,712,6339,555,8354,622,8228,555,3104,339,7713,564
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",22112,512,13,21,174,75,487,151,1118,238,1853,308,3254,333,2787,328,4905,368,2926,322,4595,410
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",12534,266,0,25,74,41,661,126,1321,208,1206,187,1693,204,2481,231,2943,287,609,161,1546,231
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",3859,194,14,16,9,14,244,91,423,111,501,112,519,110,872,127,547,108,79,43,651,158
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",10680,261,119,81,464,103,954,155,570,143,998,174,1098,189,1664,206,2149,282,675,155,1989,207
0600000US0900186370,0900186370,"Wilton town, Fairfield County, Connecticut",6327,188,13,19,76,43,671,133,628,124,1018,140,1073,161,1142,153,740,136,275,106,691,133
0600000US0900302060,0900302060,"Avon town, Hartford County, Connecticut",7415,202,0,19,101,43,891,144,958,171,1325,231,1707,226,1015,191,679,181,266,96,473,121
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",8427,268,0,22,168,70,1207,216,865,161,854,159,1122,207,965,167,1506,256,322,132,1418,254
0600000US0900305910,0900305910,"Bloomfield town, Hartford County, Connecticut",8807,346,14,25,18,16,767,187,609,158,1208,187,1295,179,1910,271,1925,301,367,142,694,184
0600000US0900308490,0900308490,"Bristol town, Hartford County, Connecticut",26917,604,37,20,85,71,1026,218,1550,299,4475,426,3374,352,4082,442,4149,409,2217,286,5922,496
0600000US0900310100,0900310100,"Burlington town, Hartford County, Connecticut",3529,138,8,13,37,29,489,100,564,110,677,108,717,106,334,81,318,87,102,50,283,91
0600000US0900312270,0900312270,"Canton town, Hartford County, Connecticut",4340,187,0,19,30,34,662,136,367,130,621,169,705,162,369,93,533,164,341,137,712,152
0600000US0900322070,0900322070,"East Granby town, Hartford County, Connecticut",2146,95,0,17,11,19,309,92,214,90,362,96,400,115,353,112,317,99,26,31,154,102
0600000US0900322630,0900322630,"East Hartford town, Hartford County, Connecticut",21530,584,0,28,149,114,299,78,339,114,1847,285,2471,406,5117,451,5690,443,2226,261,3392,424
0600000US0900324800,0900324800,"East Windsor town, Hartford County, Connecticut",4999,333,27,30,131,73,784,199,497,146,914,226,446,162,307,110,754,157,250,120,889,246
0600000US0900325990,0900325990,"Enfield town, Hartford County, Connecticut",17403,409,7,12,68,53,416,86,759,155,2389,263,1829,217,3690,271,4579,322,890,149,2776,303
0600000US0900327600,0900327600,"Farmington town, Hartford County, Connecticut",10793,232,10,16,135,66,1240,162,1374,206,2340,279,2036,240,1078,156,1254,171,359,85,967,186
