GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Built 2010 or later,Margin of Error; Total: - Built 2010 or later,Estimate; Total: - Built 2000 to 2009,Margin of Error; Total: - Built 2000 to 2009,Estimate; Total: - Built 1990 to 1999,Margin of Error; Total: - Built 1990 to 1999,Estimate; Total: - Built 1980 to 1989,Margin of Error; Total: - Built 1980 to 1989,Estimate; Total: - Built 1970 to 1979,Margin of Error; Total: - Built 1970 to 1979,Estimate; Total: - Built 1960 to 1969,Margin of Error; Total: - Built 1960 to 1969,Estimate; Total: - Built 1950 to 1959,Margin of Error; Total: - Built 1950 to 1959,Estimate; Total: - Built 1940 to 1949,Margin of Error; Total: - Built 1940 to 1949,Estimate; Total: - Built 1939 or earlier,Margin of Error; Total: - Built 1939 or earlier
0400000US09,09,Connecticut,1486995,423,4959,479,102666,1739,111295,1843,192185,2730,200576,2397,200430,2633,232555,2929,105742,1949,336587,3342
0500000US09001,09001,"Fairfield County, Connecticut",361272,428,1893,282,24058,810,24224,934,40689,1429,50154,1228,52500,1390,62046,1360,27824,1218,77884,1564
0500000US09003,09003,"Hartford County, Connecticut",373809,454,740,155,23031,847,24243,930,49145,1109,49011,1391,52766,1290,68139,1356,32513,1173,74221,1519
0500000US09005,09005,"Litchfield County, Connecticut",87338,200,107,56,6658,485,7807,584,13042,773,11894,647,9265,526,11096,610,5308,495,22161,829
0500000US09007,09007,"Middlesex County, Connecticut",74832,284,183,77,6778,441,8098,575,11710,632,11340,617,9108,618,8780,598,4066,412,14769,708
0500000US09009,09009,"New Haven County, Connecticut",361726,549,1008,195,20415,743,25847,984,45539,1224,47216,1260,45842,1503,55007,1359,25628,1015,95224,1910
0500000US09011,09011,"New London County, Connecticut",120900,262,603,221,10675,595,11040,590,15136,773,16170,769,16463,846,14926,646,5636,533,30251,991
0500000US09013,09013,"Tolland County, Connecticut",58067,401,239,136,6579,506,5577,518,9253,577,8147,553,8863,565,7892,579,2566,310,8951,547
0500000US09015,09015,"Windham County, Connecticut",49051,228,186,101,4472,393,4459,440,7671,475,6644,493,5623,499,4669,387,2201,301,13126,592
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",7139,245,44,32,381,143,390,112,789,144,1905,234,1049,191,893,159,346,128,1342,204
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",57881,894,187,129,1633,265,1877,266,4898,387,5879,484,6397,584,9565,676,7219,570,20226,787
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",6490,282,52,47,656,136,602,122,1051,165,1514,207,1131,207,904,199,277,113,303,87
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",32480,805,281,133,3306,417,2466,313,4337,460,5076,458,4029,457,4296,442,1556,293,7133,467
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",6917,208,35,29,761,156,263,87,406,95,603,129,794,133,1552,210,728,141,1775,175
